Wvlgth nm;Etr W*m-2*nm-1;Global tilt  W*m-2*nm-1;Direct+circumsolar W*m-2*nm-1
531;1,99500;1,6292E+00;1,4348E+00
532;1,95800;1,5998E+00;1,4094E+00
533;1,74700;1,4286E+00;1,2590E+00
534;1,86900;1,5302E+00;1,3491E+00
535;1,89500;1,5535E+00;1,3701E+00
536;1,97400;1,6199E+00;1,4292E+00
537;1,82400;1,4989E+00;1,3229E+00
538;1,91300;1,5738E+00;1,3896E+00
539;1,86400;1,5352E+00;1,3558E+00
540;1,80000;1,4825E+00;1,3096E+00
541;1,73400;1,4251E+00;1,2595E+00
542;1,88800;1,5511E+00;1,3714E+00
543;1,85100;1,5256E+00;1,3493E+00
544;1,91900;1,5792E+00;1,3971E+00
545;1,87400;1,5435E+00;1,3657E+00
546;1,86090;1,5291E+00;1,3536E+00
547;1,88200;1,5490E+00;1,3717E+00
548;1,82600;1,5049E+00;1,3331E+00
549;1,88000;1,5520E+00;1,3752E+00
550;1,86300;1,5399E+00;1,3648E+00
551;1,85900;1,5382E+00;1,3639E+00
552;1,89600;1,5697E+00;1,3923E+00
553;1,84200;1,5250E+00;1,3533E+00
554;1,87800;1,5549E+00;1,3802E+00
555;1,88900;1,5634E+00;1,3883E+00
556;1,85700;1,5366E+00;1,3651E+00
557;1,81200;1,4988E+00;1,3321E+00
558;1,85300;1,5310E+00;1,3613E+00
559;1,75500;1,4483E+00;1,2885E+00
560;1,78600;1,4740E+00;1,3118E+00
561;1,89000;1,5595E+00;1,3885E+00
562;1,80100;1,4847E+00;1,3225E+00
563;1,87100;1,5408E+00;1,3731E+00
564;1,83600;1,5106E+00;1,3466E+00
565;1,84900;1,5201E+00;1,3555E+00
566;1,75000;1,4374E+00;1,2823E+00
567;1,86800;1,5320E+00;1,3673E+00
568;1,85900;1,5180E+00;1,3554E+00
569;1,83100;1,4807E+00;1,3228E+00
570;1,82800;1,4816E+00;1,3240E+00
571;1,76200;1,4331E+00;1,2810E+00
572;1,87200;1,5134E+00;1,3534E+00
573;1,88100;1,5198E+00;1,3595E+00
574;1,87300;1,5119E+00;1,3527E+00
575;1,83400;1,4777E+00;1,3225E+00
576;1,81800;1,4654E+00;1,3118E+00
577;1,86200;1,5023E+00;1,3452E+00
578;1,79900;1,4560E+00;1,3040E+00
579;1,81600;1,4770E+00;1,3230E+00
580;1,83400;1,5020E+00;1,3455E+00
581;1,83300;1,5089E+00;1,3518E+00
582;1,85200;1,5320E+00;1,3729E+00
583;1,86300;1,5479E+00;1,3872E+00
584;1,85400;1,5448E+00;1,3845E+00
585;1,83600;1,5324E+00;1,3737E+00
586;1,79200;1,4953E+00;1,3409E+00
587;1,83800;1,5281E+00;1,3708E+00
588;1,82100;1,4934E+00;1,3403E+00
589;1,62400;1,2894E+00;1,1582E+00
590;1,72180;1,3709E+00;1,2316E+00
591;1,80900;1,4662E+00;1,3171E+00
592;1,78800;1,4354E+00;1,2900E+00
593;1,79200;1,4561E+00;1,3086E+00
594;1,78900;1,4491E+00;1,3029E+00
595;1,77800;1,4308E+00;1,2870E+00
596;1,79600;1,4745E+00;1,3260E+00
597;1,80600;1,4788E+00;1,3303E+00
598;1,77200;1,4607E+00;1,3142E+00
599;1,76400;1,4606E+00;1,3145E+00
600;1,77000;1,4753E+00;1,3278E+00
601;1,74200;1,4579E+00;1,3123E+00
602;1,71500;1,4360E+00;1,2928E+00
603;1,74900;1,4664E+00;1,3205E+00
604;1,77900;1,4921E+00;1,3439E+00
605;1,77300;1,4895E+00;1,3418E+00
606;1,75800;1,4822E+00;1,3353E+00
607;1,76200;1,4911E+00;1,3434E+00
608;1,75100;1,4862E+00;1,3392E+00
609;1,73400;1,4749E+00;1,3292E+00
610;1,72400;1,4686E+00;1,3237E+00
611;1,71200;1,4611E+00;1,3170E+00
612;1,73600;1,4831E+00;1,3370E+00
613;1,71000;1,4621E+00;1,3182E+00
614;1,65500;1,4176E+00;1,2783E+00
615;1,71200;1,4697E+00;1,3254E+00
616;1,66400;1,4310E+00;1,2906E+00
617;1,64100;1,4128E+00;1,2744E+00
618;1,70200;1,4664E+00;1,3228E+00
619;1,70900;1,4733E+00;1,3292E+00
620;1,71100;1,4739E+00;1,3299E+00
621;1,72400;1,4802E+00;1,3359E+00
622;1,67840;1,4269E+00;1,2882E+00
623;1,68200;1,4165E+00;1,2793E+00
624;1,66700;1,4118E+00;1,2751E+00
625;1,64400;1,4026E+00;1,2667E+00
626;1,64000;1,4012E+00;1,2655E+00
627;1,69300;1,4417E+00;1,3022E+00
628;1,69300;1,3631E+00;1,2328E+00
629;1,68700;1,4114E+00;1,2758E+00
630;1,66500;1,3924E+00;1,2589E+00
631;1,65900;1,4161E+00;1,2799E+00
632;1,59010;1,3638E+00;1,2327E+00
633;1,67400;1,4508E+00;1,3110E+00
634;1,63700;1,4284E+00;1,2907E+00
635;1,65200;1,4458E+00;1,3065E+00
636;1,60930;1,4128E+00;1,2768E+00
637;1,66100;1,4610E+00;1,3204E+00
638;1,66500;1,4707E+00;1,3292E+00
639;1,65300;1,4646E+00;1,3238E+00
640;1,61300;1,4340E+00;1,2962E+00
641;1,61000;1,4348E+00;1,2970E+00
642;1,60900;1,4376E+00;1,2995E+00
643;1,62500;1,4525E+00;1,3130E+00
644;1,61400;1,4462E+00;1,3074E+00
645;1,62700;1,4567E+00;1,3170E+00
646;1,59100;1,4150E+00;1,2797E+00
647;1,60600;1,4086E+00;1,2744E+00
648;1,60200;1,3952E+00;1,2625E+00
649;1,55100;1,3519E+00;1,2234E+00
650;1,52600;1,3594E+00;1,2299E+00
651;1,61300;1,4447E+00;1,3071E+00
652;1,59100;1,3871E+00;1,2558E+00
653;1,59800;1,4311E+00;1,2950E+00
654;1,57500;1,4153E+00;1,2807E+00
655;1,52300;1,3499E+00;1,2220E+00
656;1,32330;1,1851E+00;1,0727E+00
657;1,38400;1,2393E+00;1,1218E+00
658;1,53900;1,3855E+00;1,2540E+00
659;1,54200;1,3905E+00;1,2586E+00
660;1,55800;1,3992E+00;1,2668E+00
661;1,56600;1,3933E+00;1,2618E+00
662;1,57100;1,3819E+00;1,2518E+00
663;1,56300;1,3844E+00;1,2539E+00
664;1,55400;1,3967E+00;1,2647E+00
665;1,56700;1,4214E+00;1,2871E+00
666;1,55500;1,4203E+00;1,2860E+00
667;1,53540;1,4102E+00;1,2767E+00
668;1,53480;1,4150E+00;1,2810E+00
669;1,55800;1,4394E+00;1,3032E+00
670;1,53400;1,4196E+00;1,2853E+00
